CODE_HALL,CODE_HEAT,CODE_SEC,CODE_STR,CONVENIENT_FACILITY,EDUCATION_FACILITY,KAPTD_PCNT,KAPTD_PCNTU,KAPTD_WTIMEBUS,KAPTD_WTIMESUB,KAPT_DONG_CNT,KAPT_MGR_CNT,KAPTD_ECNTP,KAPT_USEDATE,SUBWAY_LINE,SUBWAY_STATION,WELFARE_FACILITY
A70075301,복도식,개별난방,위탁관리,철근콘크리트구조,"관공서(신남치안센터, 동부교육청,대구도시가스,동사무소,남산동우체국,대구도시가스,대구중부소방서) 병원(한독병원) 백화점(현대백화점) 대형상가(남문시장) 공원(달성공원) 기타(프린스호텔,대구영화학교,대구보명학교,영화맹아학교,대구보건학교)","초등학교(남산초,명덕초,남대구초,내당초) 중학교(경구중,경상중,구남중) 고등학교(구남여자경영정보고,경북여자경영정보고,경북예술고,경북공업고,경북여고) 대학교(계명대,대구대,대구교육대,대구가톨릭대,대구가톨릭대학원)",200,0,5~10분이내,10~15분이내,3,5,10,1992-06-30,"2호선, 3호선",명덕,"관리사무소, 노인정, 어린이놀이터"
A70044003,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(대구중부소방서, 동부교육청, 우체국) 병원(동산의료원) 백화점(동아쇼핑센타) 대형상가(서문시장) 공원(달성공원)","초등학교(계성초, 남산초교) 중학교(계성중, 성명중, 경구중교) 고등학교(계성고, 신명고교) 대학교(계명대및 대구대 대명동캠퍼스, 카톨릭대남산캠퍼스)",197,475,5~10분이내,5분이내,6,6,14,2008-10-28,2호선,신남,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타"
A70044002,혼합식,개별난방,위탁관리,철근콘크리트구조,"관공서(대구중부소방서, 동부교육청, 우체국) 병원(동산의료원) 백화점(동아쇼핑센타) 대형상가(서문시장) 공원(달성공원)","초등학교(계성초, 남산초) 중학교(계성중, 성명중, 경구중교) 고등학교(계성고, 신명고교) 대학교(계명대및 대구대 대명동캠퍼스, 카톨릭대남산캠퍼스)",97,407,5~10분이내,5~10분이내,5,5,10,2008-10-28,2호선,신남,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소"
A70044005,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(신남치안센터, 동부교육청,대구도시가스,동사무소,남산동우체국,대구도시가스,대구중부소방서) 병원(동산병원) 대형상가(서문시장) 기타(프린스호텔,대구영화학교,대구보명학교,영화맹아학교,대구보건학교)","초등학교(남산초,명덕초,남대구초,내당초) 중학교(경구중,경상중,구남중) 고등학교(구남여자경영정보고,경북여자경영정보고,경북예술고,경북공업고,경북여고) 대학교(계명대,대구대,대구교육대,대구가톨릭대,대구가톨릭대학원)",90,1174,5분이내,5분이내,10,7,20,2014-04-30,"2호선, 3호선","명덕,신남","관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
A70072601,혼합식,개별난방,자치관리,철근콘크리트구조,"관공서(동부교육청,대구도시가스,동사무소,남산동우체국,남구보건소) 병원(대구적십자병원) 백화점(동아쇼핑센터) 대형상가(남문시장) 기타(프린스호텔)","초등학교(남산초,남대구초,명덕초) 중학교(경구중,제일중,경상중) 고등학교(경북공업고,경북여자경영정보고,경북예술고,경북여고) 대학교(대구가톨릭대,대구가톨릭대학원,대구교육대,계명대)",142,79,5~10분이내,15~20분이내,3,4,8,1992-12-17,"1호선, 2호선, 3호선","명덕,신남","관리사무소, 노인정, 어린이놀이터"
A70080201,계단식,개별난방,위탁관리,철근콘크리트구조,병원() 백화점() 대형상가(),초등학교() 중학교() 고등학교(),467,203,5분이내,5분이내,5,5,12,2014-07-31,1호선,반월당역,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타"
A70044202,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(남산2동주민센터, 대구시 동부교육청) 병원(동산병원,경대병원) 백화점(동아쇼핑,대구백화점) 대형상가(서문시장,남문시장) 공원(국채보상기념공원)","초등학교(대구초,계성초) 중학교(제일중,계성중) 고등학교(경북여고,계성고) 대학교(계명대학 의과대학,경북대학 의과대학)",554,524,5분이내,5분이내,3,5,10,2007-07-27,"1호선, 2호선",반월당,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
A70075102,혼합식,개별난방,위탁관리,철근콘크리트구조,"관공서(동부교육청,대구도시가스,동사무소,남산동우체국,대구도시가스,대구중부소방서) 병원(한독병원,남산병원) 대형상가(남문시장) 기타(프린스호텔,대구보명학교,대구영화학교,영화맹화학교,대구보건학교)","초등학교(남산초,명덕초,남대구초,내당초) 중학교(경구중,경상중,구남중) 고등학교(경북여고,경북공업고,경북여자경영정보고,경북예술고,구남여자경영정보고) 대학교(대구가톨릭대,대구가톨릭대학원,대구교육대,계명대,대구대)",523,536,5분이내,15~20분이내,8,8,20,1993-03-29,"1호선, 3호선",명덕,"관리사무소, 노인정, 주민공동시설, 어린이놀이터"
A70042101,혼합식,개별난방,위탁관리,철근콘크리트구조,"관공서(대구광역시청,한국전력공사,동인변전소,대구우체국,대구지방병무청,중부경찰서,대구시중구청) 병원(경북의대부속병원) 백화점(롯데백화점,동아백화점) 대형상가(칠성시장) 공원(국채보상기념공원) 기타(대구역)","초등학교(동인초,동덕초,대구초,경북대사범부속초) 대학교(경대의과대,경대의과대보건대학원,경대치대)",82,56,5~10분이내,15~20분이내,1,2,4,1997-07-11,1호선,칠성시장,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
A70042401,계단식,개별난방,위탁관리,-,"관공서(대구시청, 중구청) 병원(경북대병원) 공원(국채보상기념공원) 기타(한국은행,KT)","초등학교(동인초,동덕초) 중학교(대구중앙중) 고등학교(중앙정보고) 대학교(경북대의대)",25,203,5분이내,-,1,2,5,2009-03-05,2호선,-,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
A10028088,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(대구중부소방서) 병원(계명대학교 동산병원) 백화점(현대백화점,동아백화점) 대형상가(서문시장) 공원(달성공원) 기타()","초등학교(계성초교,대구남산초교) 중학교(계성중교) 고등학교(계성고교) 대학교(대구카톨릭대학교)",175,1321,5~10분이내,5~10분이내,13,8,24,2015-04-15,2호선,-,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타"
A70032001,계단식,개별난방,위탁관리,철근콘크리트구조,관공서(대신동사무소) 병원(동산의료원) 대형상가(서문시장지구),"초등학교(계성초,남산초) 중학교(계성중,성명여중) 고등학교(신명고) 대학교(계명대의과대학,동산간호전문대)",249,536,5분이내,5분이내,6,5,11,2006-10-25,"2호선, 3호선",신남,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
A70082301,계단식,개별난방,위탁관리,철근콘크리트구조,"관공서(동부교육청,주민센터) 병원(경북대의대) 백화점(동아쇼핑센터) 대형상가(삼성금융프라자) 기타(남문시장)","초등학교(경북대사범부속초,명덕초,영선초) 중학교(제일중,경북대사범부속중) 고등학교(경북여고,경북대사범부속고) 대학교(대구가톨릭대,대구가톨릭대학원)",111,184,5~10분이내,10~15분이내,3,3,0,2006-08-18,2호선,경대병원,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
A70082101,복도식,개별난방,위탁관리,철근콘크리트구조,"관공서(중부경찰서,대구우체국,대구지방병무청,동부교육청,동사무소) 병원(곽병원) 백화점(동아쇼핑,대구백화점) 대형상가(서문시장) 공원(달성공원) 기타(아미고호텔)","초등학교(종로초,수창초,계성초,대성초,남산초,대구초) 중학교(계성중,성명여중) 고등학교(계성고,신명고,경신정보과학고) 대학교(계명대의과대학,동산간호전문대)",100,18,5분이내,5~10분이내,1,1,2,1986-12-10,2호선,신남역,"관리사무소, 어린이놀이터, 자전거보관소"
